id,score_phrase,title,platform,score,genre,editors_choice,release_year,release_month,release_day
74,Great,Transformers: Fall of Cybertron,PlayStation 3,8.5,Shooter,N,2012,8,21
75,Amazing,Hero Academy,PC,9.0,Board,Y,2012,8,20
76,Amazing,Hero Academy,iPhone,9.0,Strategy,Y,2012,8,20
77,Amazing,Puzzle Craft,iPhone,9.0,Puzzle,Y,2012,8,17
78,Mediocre,Realms Of Ancient War,Xbox 360,5.5,Action,N,2012,9,24
79,Mediocre,Realms Of Ancient War,PlayStation 3,5.5,Action,N,2012,9,24
80,Great,Anomaly: Warzone Earth,PlayStation 3,8.2,Action,N,2012,9,23
81,Good,Darksiders II,PC,7.5,Action,N,2012,8,17
82,Good,Left 4 Dead 2: Cold Stream,Macintosh,7.0,Shooter,N,2012,8,17
83,Good,Left 4 Dead 2: Cold Stream,PC,7.0,Shooter,N,2012,8,17
84,Amazing,Puzzle Craft,Android,9.0,Puzzle,Y,2012,8,17
85,Good,Left 4 Dead 2: Cold Stream,Xbox 360,7.0,Shooter,N,2012,8,17
86,Amazing,Horn,iPhone,9.0,"Action, Adventure",Y,2012,8,16
87,Amazing,Forza Horizon,Xbox 360,9.0,Racing,Y,2012,10,12
88,Bad,FIFA Soccer 13,PlayStation Vita,4.0,Sports,N,2012,10,12
89,Awful,Mugen Souls,PlayStation 3,3.9,"Strategy, RPG",N,2012,10,12
90,Good,Crazy Taxi,iPhone,7.1,"Racing, Action",N,2012,10,11
91,Mediocre,New Little King's Story,PlayStation Vita,5.8,RPG,N,2012,10,11
92,Good,Fable: The Journey,Xbox 360,7.2,"Action, RPG",N,2012,10,9
93,Great,The Lord of the Rings Online: Riders of Rohan,PC,8.3,RPG,N,2012,10,26
94,Good,Doom 3: BFG Edition,Xbox 360,7.6,RPG,N,2012,10,25
95,Okay,Rugby League Live 2,Xbox 360,6.0,Sports,N,2012,10,25
96,Okay,Rugby League Live 2,PlayStation 3,6.0,Sports,N,2012,10,25
97,Good,Doom 3: BFG Edition,PlayStation 3,7.6,RPG,N,2012,10,25
98,Amazing,Punch Quest,iPhone,9.3,Action,Y,2012,10,25
99,Okay,He-Man: The Most Powerful Game in the Universe,iPhone,6.8,Action,N,2012,10,25
100,Good,Doom 3: BFG Edition,PC,7.6,RPG,N,2012,10,25
101,Great,Dokuro,PlayStation Vita,8.8,Puzzle,N,2012,10,19
102,Painful,Naughty Bear: Panic in Paradise,Xbox 360,2.3,Action,N,2012,10,18
103,Painful,Naughty Bear: Panic in Paradise,PlayStation 3,2.3,Action,N,2012,10,18
104,Good,Borderlands 2: Captain Scarlett and her Pirate's Booty,PlayStation 3,7.5,"Shooter, RPG",N,2012,10,18
105,Great,Skylanders Giants,PlayStation 3,8.0,"Action, Adventure",N,2012,10,18
106,Good,Borderlands 2: Captain Scarlett and her Pirate's Booty,PC,7.5,"Shooter, RPG",N,2012,10,18
107,Great,Rayman: Jungle Run,iPhone,8.8,Platformer,N,2012,9,20
108,Amazing,FIFA Soccer 13,PC,9.0,Sports,Y,2012,9,20
109,Amazing,FIFA Soccer 13,PlayStation 3,9.0,Sports,Y,2012,9,20
110,Amazing,Torchlight II,PC,9.1,"Action, RPG",Y,2012,9,20
111,Amazing,FIFA Soccer 13,Xbox 360,9.0,Sports,Y,2012,9,20
112,Bad,The Sims 3: Supernatural,PC,4.5,Simulation,N,2012,9,19
113,Good,Retro/Grade,PlayStation 3,7.0,,N,2012,8,15
114,Amazing,Iron Brigade,PC,9.0,Action,Y,2012,8,15
115,Okay,Cafeteria Nipponica,iPhone,6.0,Simulation,N,2012,8,15
116,Great,Sleeping Dogs,Xbox 360,8.5,Action,N,2012,8,14
117,Great,Sleeping Dogs,PlayStation 3,8.5,Action,N,2012,8,14
118,Good,Darksiders II,PlayStation 3,7.5,Action,N,2012,8,14
119,Bad,Papo & Yo,PlayStation 3,4.0,Adventure,N,2012,8,14
120,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,PC,7.5,Adventure,N,2012,10,9
121,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,iPad,7.5,Adventure,N,2012,10,9
122,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,PlayStation 3,7.5,Adventure,N,2012,10,9
123,Mediocre,Cortex Command,PC,5.0,"Action, Simulation",N,2012,10,9
124,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,Xbox 360,7.5,Adventure,N,2012,10,9
125,Good,Derrick the Deathfin,PlayStation 3,7.4,Action,N,2012,10,9
126,Good,The Walking Dead: The Game -- Episode 4: Around Every Corner,Macintosh,7.5,Adventure,N,2012,10,9
127,Great,XCOM: Enemy Unknown,Xbox 360,8.2,Strategy,N,2012,10,8
128,Great,XCOM: Enemy Unknown,PC,8.2,Strategy,N,2012,10,8
129,Okay,Silent Hill: Book of Memories,PlayStation Vita,6.0,Adventure,N,2012,10,24
130,Good,Diaspora: Shattered Armistice,PC,7.4,"Flight, Action",N,2012,10,24
131,Okay,Pocket Clothier,iPhone,6.6,Strategy,N,2012,10,24
132,Okay,Pocket Clothier,Android,6.6,Strategy,N,2012,10,24
133,Okay,Ravaged,PC,6.7,Shooter,N,2012,10,23
134,Okay,True Skate,iPhone,6.7,Sports,N,2012,10,23
135,Amazing,Zero Escape: Virtue's Last Reward,Nintendo 3DS,9.5,Adventure,Y,2012,10,23
136,Amazing,Zero Escape: Virtue's Last Reward,PlayStation Vita,9.5,Adventure,Y,2012,10,23
137,Amazing,The Walking Dead: The Game -- Episode 3: Long Road Ahead,iPad,9.0,Adventure,Y,2012,10,22
